Sample,Location,Salinity,Observed,Chao1,Shannon
W_BIL_ST1_2025NOV_01,Biloxi Bay,Freshwater,1523,1523,6.172127365
W_BIL_ST1_2025NOV_02,Biloxi Bay,Freshwater,1942,1942,6.231569819
W_BIL_ST2_2025NOV_01,Biloxi Bay,Freshwater,1693,1693,6.491367045
W_BIL_ST2_2025NOV_02,Biloxi Bay,Freshwater,1935,1935,6.601061222
W_BIL_ST3_2025NOV_01,Biloxi Bay,Freshwater,1838,1838,6.674308912
W_BIL_ST3_2025NOV_02,Biloxi Bay,Freshwater,1694,1694,6.565978426
W_BIL_ST4_2025NOV_01,Biloxi Bay,Freshwater,1839,1839,6.54957407
W_BIL_ST5_2025NOV_01,Biloxi Bay,Moderate Salinity,2210,2210,6.617128473
W_BIL_ST5_2025NOV_02,Biloxi Bay,Moderate Salinity,2251,2251,6.646238383
W_BIL_ST6_2025NOV_01,Biloxi Bay,Moderate Salinity,1909,1909,6.398828177
W_BIL_ST6_2025NOV_02,Biloxi Bay,Moderate Salinity,1934,1934,6.521125514
W_BIL_ST7_2025NOV_01,Biloxi Bay,Moderate Salinity,1646,1646,6.654937977
W_BIL_ST7_2025NOV_02,Biloxi Bay,Moderate Salinity,1929,1929,6.687202525
W_BIL_ST8_2025NOV_01,Biloxi Bay,High Salinity,2115,2115,6.786677703
W_BIL_ST8_2025NOV_02,Biloxi Bay,High Salinity,2232,2232,6.833078327
W_BIL_ST9_2025NOV_01,Biloxi Bay,High Salinity,2048,2048,6.752560487
W_BIL_ST9_2025NOV_02,Biloxi Bay,High Salinity,2162,2162,6.865130368
W_PAS_ST1_2025NOV_01,Pascagoula Bay,Freshwater,3209,3209,7.216312687
W_PAS_ST1_2025NOV_02,Pascagoula Bay,Freshwater,2570,2570,7.027258071
W_PAS_ST10_2025NOV_01,Pascagoula Bay,High Salinity,2484,2484,7.214677351
W_PAS_ST10_2025NOV_02,Pascagoula Bay,High Salinity,2402,2402,7.05074556
W_PAS_ST2_2025NOV_01,Pascagoula Bay,Freshwater,3005,3005,6.892702268
W_PAS_ST2_2025NOV_02,Pascagoula Bay,Freshwater,2993,2993,6.999518284
W_PAS_ST3_2025NOV_01,Pascagoula Bay,Freshwater,2773,2773,6.596948742
W_PAS_ST3_2025NOV_02,Pascagoula Bay,Freshwater,2862,2862,6.682644808
W_PAS_ST4_2025NOV_01,Pascagoula Bay,Moderate Salinity,3220,3220,6.841265167
W_PAS_ST4_2025NOV_02,Pascagoula Bay,Moderate Salinity,2228,2228,6.638264724
W_PAS_ST5_2025NOV_01,Pascagoula Bay,Moderate Salinity,2771,2771,6.762731717
W_PAS_ST5_2025NOV_02,Pascagoula Bay,Moderate Salinity,2356,2356,6.708281361
W_PAS_ST6_2025NOV_01,Pascagoula Bay,Moderate Salinity,2494,2494,6.492622004
W_PAS_ST6_2025NOV_02,Pascagoula Bay,Moderate Salinity,2520,2520,6.616007979
W_PAS_ST7_2025NOV_01,Pascagoula Bay,Moderate Salinity,2601,2601,6.672929085
W_PAS_ST7_2025NOV_02,Pascagoula Bay,Moderate Salinity,2598,2598,6.715883494
W_PAS_ST8_2025NOV_01,Pascagoula Bay,High Salinity,2111,2111,6.521694661
W_PAS_ST8_2025NOV_02,Pascagoula Bay,High Salinity,2199,2199,6.523093619
W_PAS_ST9_2025NOV_01,Pascagoula Bay,High Salinity,535,535,5.783920763
W_PAS_ST9_2025NOV_02,Pascagoula Bay,High Salinity,2587,2587,6.915803591
