"","Sample","Measure","Value","sampleid","Location","Salinity"
"1","W_BIL_ST1_2025NOV_01","Observed",1523,"W_BIL_ST1_2025NOV_01","Biloxi Bay","Freshwater"
"2","W_BIL_ST1_2025NOV_02","Observed",1942,"W_BIL_ST1_2025NOV_02","Biloxi Bay","Freshwater"
"3","W_BIL_ST2_2025NOV_01","Observed",1693,"W_BIL_ST2_2025NOV_01","Biloxi Bay","Freshwater"
"4","W_BIL_ST2_2025NOV_02","Observed",1935,"W_BIL_ST2_2025NOV_02","Biloxi Bay","Freshwater"
"5","W_BIL_ST3_2025NOV_01","Observed",1838,"W_BIL_ST3_2025NOV_01","Biloxi Bay","Freshwater"
"6","W_BIL_ST3_2025NOV_02","Observed",1694,"W_BIL_ST3_2025NOV_02","Biloxi Bay","Freshwater"
"7","W_BIL_ST4_2025NOV_01","Observed",1839,"W_BIL_ST4_2025NOV_01","Biloxi Bay","Freshwater"
"8","W_BIL_ST5_2025NOV_01","Observed",2210,"W_BIL_ST5_2025NOV_01","Biloxi Bay","Moderate Salinity"
"9","W_BIL_ST5_2025NOV_02","Observed",2251,"W_BIL_ST5_2025NOV_02","Biloxi Bay","Moderate Salinity"
"10","W_BIL_ST6_2025NOV_01","Observed",1909,"W_BIL_ST6_2025NOV_01","Biloxi Bay","Moderate Salinity"
"11","W_BIL_ST6_2025NOV_02","Observed",1934,"W_BIL_ST6_2025NOV_02","Biloxi Bay","Moderate Salinity"
"12","W_BIL_ST7_2025NOV_01","Observed",1646,"W_BIL_ST7_2025NOV_01","Biloxi Bay","Moderate Salinity"
"13","W_BIL_ST7_2025NOV_02","Observed",1929,"W_BIL_ST7_2025NOV_02","Biloxi Bay","High Salinity"
"14","W_BIL_ST8_2025NOV_01","Observed",2115,"W_BIL_ST8_2025NOV_01","Biloxi Bay","High Salinity"
"15","W_BIL_ST8_2025NOV_02","Observed",2232,"W_BIL_ST8_2025NOV_02","Biloxi Bay","High Salinity"
"16","W_BIL_ST9_2025NOV_01","Observed",2048,"W_BIL_ST9_2025NOV_01","Biloxi Bay","High Salinity"
"17","W_BIL_ST9_2025NOV_02","Observed",2162,"W_BIL_ST9_2025NOV_02","Biloxi Bay","High Salinity"
"18","W_PAS_ST1_2025NOV_01","Observed",3209,"W_PAS_ST1_2025NOV_01","Pascagoula Bay","Freshwater"
"19","W_PAS_ST1_2025NOV_02","Observed",2570,"W_PAS_ST1_2025NOV_02","Pascagoula Bay","Freshwater"
"20","W_PAS_ST10_2025NOV_01","Observed",2484,"W_PAS_ST10_2025NOV_01","Pascagoula Bay","High Salinity"
"21","W_PAS_ST10_2025NOV_02","Observed",2402,"W_PAS_ST10_2025NOV_02","Pascagoula Bay","High Salinity"
"22","W_PAS_ST2_2025NOV_01","Observed",3005,"W_PAS_ST2_2025NOV_01","Pascagoula Bay","Freshwater"
"23","W_PAS_ST2_2025NOV_02","Observed",2993,"W_PAS_ST2_2025NOV_02","Pascagoula Bay","Freshwater"
"24","W_PAS_ST3_2025NOV_01","Observed",2773,"W_PAS_ST3_2025NOV_01","Pascagoula Bay","Freshwater"
"25","W_PAS_ST3_2025NOV_02","Observed",2862,"W_PAS_ST3_2025NOV_02","Pascagoula Bay","Freshwater"
"26","W_PAS_ST4_2025NOV_01","Observed",3220,"W_PAS_ST4_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"27","W_PAS_ST4_2025NOV_02","Observed",2228,"W_PAS_ST4_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"28","W_PAS_ST5_2025NOV_01","Observed",2771,"W_PAS_ST5_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"29","W_PAS_ST5_2025NOV_02","Observed",2356,"W_PAS_ST5_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"30","W_PAS_ST6_2025NOV_01","Observed",2494,"W_PAS_ST6_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"31","W_PAS_ST6_2025NOV_02","Observed",2520,"W_PAS_ST6_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"32","W_PAS_ST7_2025NOV_01","Observed",2601,"W_PAS_ST7_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"33","W_PAS_ST7_2025NOV_02","Observed",2598,"W_PAS_ST7_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"34","W_PAS_ST8_2025NOV_01","Observed",2111,"W_PAS_ST8_2025NOV_01","Pascagoula Bay","High Salinity"
"35","W_PAS_ST8_2025NOV_02","Observed",2199,"W_PAS_ST8_2025NOV_02","Pascagoula Bay","High Salinity"
"36","W_PAS_ST9_2025NOV_01","Observed",535,"W_PAS_ST9_2025NOV_01","Pascagoula Bay","High Salinity"
"37","W_PAS_ST9_2025NOV_02","Observed",2587,"W_PAS_ST9_2025NOV_02","Pascagoula Bay","High Salinity"
"38","W_BIL_ST1_2025NOV_01","Chao1",1523,"W_BIL_ST1_2025NOV_01","Biloxi Bay","Freshwater"
"39","W_BIL_ST1_2025NOV_02","Chao1",1942,"W_BIL_ST1_2025NOV_02","Biloxi Bay","Freshwater"
"40","W_BIL_ST2_2025NOV_01","Chao1",1693,"W_BIL_ST2_2025NOV_01","Biloxi Bay","Freshwater"
"41","W_BIL_ST2_2025NOV_02","Chao1",1935,"W_BIL_ST2_2025NOV_02","Biloxi Bay","Freshwater"
"42","W_BIL_ST3_2025NOV_01","Chao1",1838,"W_BIL_ST3_2025NOV_01","Biloxi Bay","Freshwater"
"43","W_BIL_ST3_2025NOV_02","Chao1",1694,"W_BIL_ST3_2025NOV_02","Biloxi Bay","Freshwater"
"44","W_BIL_ST4_2025NOV_01","Chao1",1839,"W_BIL_ST4_2025NOV_01","Biloxi Bay","Freshwater"
"45","W_BIL_ST5_2025NOV_01","Chao1",2210,"W_BIL_ST5_2025NOV_01","Biloxi Bay","Moderate Salinity"
"46","W_BIL_ST5_2025NOV_02","Chao1",2251,"W_BIL_ST5_2025NOV_02","Biloxi Bay","Moderate Salinity"
"47","W_BIL_ST6_2025NOV_01","Chao1",1909,"W_BIL_ST6_2025NOV_01","Biloxi Bay","Moderate Salinity"
"48","W_BIL_ST6_2025NOV_02","Chao1",1934,"W_BIL_ST6_2025NOV_02","Biloxi Bay","Moderate Salinity"
"49","W_BIL_ST7_2025NOV_01","Chao1",1646,"W_BIL_ST7_2025NOV_01","Biloxi Bay","Moderate Salinity"
"50","W_BIL_ST7_2025NOV_02","Chao1",1929,"W_BIL_ST7_2025NOV_02","Biloxi Bay","High Salinity"
"51","W_BIL_ST8_2025NOV_01","Chao1",2115,"W_BIL_ST8_2025NOV_01","Biloxi Bay","High Salinity"
"52","W_BIL_ST8_2025NOV_02","Chao1",2232,"W_BIL_ST8_2025NOV_02","Biloxi Bay","High Salinity"
