Sample ID	Salinity (PSU)	Temperature (¡C)	pH	ODO (mg/L)	Conductivity (µS/cm)	TDS (mg/L)
W_BIL_ST1_2025NOV_01	6.42	20.188	7.05	5.32	10217.4	7314
W_BIL_ST1_2025NOV_02	6.42	20.188	7.05	5.32	10217.4	7314
W_BIL_ST2_2025NOV_01	10.2	20.301	7.17	4.82	15721.5	11227
W_BIL_ST2_2025NOV_02	10.2	20.301	7.17	4.82	15721.5	11227
W_BIL_ST3_2025NOV_01	12.25	20.193	7.34	6	18565.3	13287
W_BIL_ST3_2025NOV_02	12.25	20.193	7.34	6	18565.3	13287
W_BIL_ST4_2025NOV_01	14.08	19.448	7.55	6.79	20760.9	15095
W_BIL_ST4_2025NOV_02	14.08	19.448	7.55	6.79	20760.9	15095
W_BIL_ST5_2025NOV_01	15.85	18.578	7.83	7.32	22701.4	16819
W_BIL_ST5_2025NOV_02	15.85	18.578	7.83	7.32	22701.4	16819
W_BIL_ST6_2025NOV_01	16.48	17.81	8	7.69	23129.2	17427
W_BIL_ST6_2025NOV_02	16.48	17.81	8	7.69	23129.2	17427
W_BIL_ST7_2025NOV_01	17.8	19.386	8.11	7.53	25680.7	18697
W_BIL_ST7_2025NOV_02	17.8	19.386	8.11	7.53	25680.7	18697
W_BIL_ST8_2025NOV_01	19.15	19.203	8.16	7.83	27348.4	19990
W_BIL_ST8_2025NOV_02	19.15	19.203	8.16	7.83	27348.4	19990
W_BIL_ST9_2025NOV_01	19.09	19.145	8.14	8.02	27233.7	19931
W_BIL_ST9_2025NOV_02	19.09	19.145	8.14	8.02	27233.7	19931
W_PAS_ST1_2025NOV_01	0.4	17.592	7.29	7.8	691.1	523
W_PAS_ST1_2025NOV_02	0.4	17.592	7.29	7.8	691.1	523
W_PAS_ST2_2025NOV_01	1.42	17.735	6.95	7.37	2343.2	1769
W_PAS_ST2_2025NOV_02	1.42	17.735	6.95	7.37	2343.2	1769
W_PAS_ST3_2025NOV_01	2.97	17.336	7.01	7.42	4664.4	3552
W_PAS_ST3_2025NOV_02	2.97	17.336	7.01	7.42	4664.4	3552
W_PAS_ST4_2025NOV_01	4.63	17.099	7.1	7.57	7033.1	5384
W_PAS_ST4_2025NOV_02	4.63	17.099	7.1	7.57	7033.1	5384
W_PAS_ST5_2025NOV_01	9.65	17.252	7.36	6.98	13965.8	10654
W_PAS_ST5_2025NOV_02	9.65	17.252	7.36	6.98	13965.8	10654
W_PAS_ST6_2025NOV_01	9.83	16.509	7.45	7.54	13963.1	10833
W_PAS_ST6_2025NOV_02	9.83	16.509	7.45	7.54	13963.1	10833
W_PAS_ST7_2025NOV_01	11.86	16.582	7.56	7.32	16626.8	12878
W_PAS_ST7_2025NOV_02	11.86	16.582	7.56	7.32	16626.8	12878
W_PAS_ST8_2025NOV_01	16.85	16.42	7.85	7.12	22867.7	17777
W_PAS_ST8_2025NOV_02	16.85	16.42	7.85	7.12	22867.7	17777
W_PAS_ST9_2025NOV_01	27.17	14.408	8.22	8.02	33712.4	27471
W_PAS_ST9_2025NOV_02	27.17	14.408	8.22	8.02	33712.4	27471
W_PAS_ST10_2025NOV_01	28.36	15.666	8.2	8	36079.1	28538
W_PAS_ST10_2025NOV_02	28.36	15.666	8.2	8	36079.1	28538
