"","Sample","Measure","Value","sampleid","Location","Salinity"
"1","W_BIL_ST1_2025NOV_01","Observed",1439,"W_BIL_ST1_2025NOV_01","Biloxi Bay","Freshwater"
"2","W_BIL_ST1_2025NOV_02","Observed",1772,"W_BIL_ST1_2025NOV_02","Biloxi Bay","Freshwater"
"3","W_BIL_ST2_2025NOV_01","Observed",1581,"W_BIL_ST2_2025NOV_01","Biloxi Bay","Freshwater"
"4","W_BIL_ST2_2025NOV_02","Observed",1807,"W_BIL_ST2_2025NOV_02","Biloxi Bay","Freshwater"
"5","W_BIL_ST3_2025NOV_01","Observed",1787,"W_BIL_ST3_2025NOV_01","Biloxi Bay","Freshwater"
"6","W_BIL_ST3_2025NOV_02","Observed",1581,"W_BIL_ST3_2025NOV_02","Biloxi Bay","Freshwater"
"7","W_BIL_ST4_2025NOV_01","Observed",1707,"W_BIL_ST4_2025NOV_01","Biloxi Bay","Moderate Salinity"
"8","W_BIL_ST5_2025NOV_01","Observed",1990,"W_BIL_ST5_2025NOV_01","Biloxi Bay","Moderate Salinity"
"9","W_BIL_ST5_2025NOV_02","Observed",2053,"W_BIL_ST5_2025NOV_02","Biloxi Bay","Moderate Salinity"
"10","W_BIL_ST6_2025NOV_01","Observed",1823,"W_BIL_ST6_2025NOV_01","Biloxi Bay","Moderate Salinity"
"11","W_BIL_ST6_2025NOV_02","Observed",1837,"W_BIL_ST6_2025NOV_02","Biloxi Bay","Moderate Salinity"
"12","W_BIL_ST7_2025NOV_01","Observed",1567,"W_BIL_ST7_2025NOV_01","Biloxi Bay","Moderate Salinity"
"13","W_BIL_ST7_2025NOV_02","Observed",1812,"W_BIL_ST7_2025NOV_02","Biloxi Bay","Moderate Salinity"
"14","W_BIL_ST8_2025NOV_01","Observed",1951,"W_BIL_ST8_2025NOV_01","Biloxi Bay","High Salinity"
"15","W_BIL_ST8_2025NOV_02","Observed",2045,"W_BIL_ST8_2025NOV_02","Biloxi Bay","High Salinity"
"16","W_BIL_ST9_2025NOV_01","Observed",1936,"W_BIL_ST9_2025NOV_01","Biloxi Bay","High Salinity"
"17","W_BIL_ST9_2025NOV_02","Observed",1992,"W_BIL_ST9_2025NOV_02","Biloxi Bay","High Salinity"
"18","W_PAS_ST1_2025NOV_01","Observed",2849,"W_PAS_ST1_2025NOV_01","Pascagoula Bay","Freshwater"
"19","W_PAS_ST1_2025NOV_02","Observed",2335,"W_PAS_ST1_2025NOV_02","Pascagoula Bay","Freshwater"
"20","W_PAS_ST10_2025NOV_01","Observed",2400,"W_PAS_ST10_2025NOV_01","Pascagoula Bay","High Salinity"
"21","W_PAS_ST10_2025NOV_02","Observed",2206,"W_PAS_ST10_2025NOV_02","Pascagoula Bay","High Salinity"
"22","W_PAS_ST2_2025NOV_01","Observed",2644,"W_PAS_ST2_2025NOV_01","Pascagoula Bay","Freshwater"
"23","W_PAS_ST2_2025NOV_02","Observed",2651,"W_PAS_ST2_2025NOV_02","Pascagoula Bay","Freshwater"
"24","W_PAS_ST3_2025NOV_01","Observed",2422,"W_PAS_ST3_2025NOV_01","Pascagoula Bay","Freshwater"
"25","W_PAS_ST3_2025NOV_02","Observed",2495,"W_PAS_ST3_2025NOV_02","Pascagoula Bay","Freshwater"
"26","W_PAS_ST4_2025NOV_01","Observed",2763,"W_PAS_ST4_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"27","W_PAS_ST4_2025NOV_02","Observed",2001,"W_PAS_ST4_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"28","W_PAS_ST5_2025NOV_01","Observed",2450,"W_PAS_ST5_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"29","W_PAS_ST5_2025NOV_02","Observed",2128,"W_PAS_ST5_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"30","W_PAS_ST6_2025NOV_01","Observed",2219,"W_PAS_ST6_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"31","W_PAS_ST6_2025NOV_02","Observed",2250,"W_PAS_ST6_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"32","W_PAS_ST7_2025NOV_01","Observed",2312,"W_PAS_ST7_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"33","W_PAS_ST7_2025NOV_02","Observed",2283,"W_PAS_ST7_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"34","W_PAS_ST8_2025NOV_01","Observed",1917,"W_PAS_ST8_2025NOV_01","Pascagoula Bay","High Salinity"
"35","W_PAS_ST8_2025NOV_02","Observed",1978,"W_PAS_ST8_2025NOV_02","Pascagoula Bay","High Salinity"
"36","W_PAS_ST9_2025NOV_01","Observed",535,"W_PAS_ST9_2025NOV_01","Pascagoula Bay","High Salinity"
"37","W_PAS_ST9_2025NOV_02","Observed",2316,"W_PAS_ST9_2025NOV_02","Pascagoula Bay","High Salinity"
"38","W_BIL_ST1_2025NOV_01","Chao1",1528.63157894737,"W_BIL_ST1_2025NOV_01","Biloxi Bay","Freshwater"
"39","W_BIL_ST1_2025NOV_02","Chao1",1885.94039735099,"W_BIL_ST1_2025NOV_02","Biloxi Bay","Freshwater"
"40","W_BIL_ST2_2025NOV_01","Chao1",1673.35537190083,"W_BIL_ST2_2025NOV_01","Biloxi Bay","Freshwater"
"41","W_BIL_ST2_2025NOV_02","Chao1",1944.46212121212,"W_BIL_ST2_2025NOV_02","Biloxi Bay","Freshwater"
"42","W_BIL_ST3_2025NOV_01","Chao1",1808.91304347826,"W_BIL_ST3_2025NOV_01","Biloxi Bay","Freshwater"
"43","W_BIL_ST3_2025NOV_02","Chao1",1703.46,"W_BIL_ST3_2025NOV_02","Biloxi Bay","Freshwater"
"44","W_BIL_ST4_2025NOV_01","Chao1",1805.43650793651,"W_BIL_ST4_2025NOV_01","Biloxi Bay","Moderate Salinity"
"45","W_BIL_ST5_2025NOV_01","Chao1",2094.88439306358,"W_BIL_ST5_2025NOV_01","Biloxi Bay","Moderate Salinity"
"46","W_BIL_ST5_2025NOV_02","Chao1",2176.13125,"W_BIL_ST5_2025NOV_02","Biloxi Bay","Moderate Salinity"
"47","W_BIL_ST6_2025NOV_01","Chao1",1879.52542372881,"W_BIL_ST6_2025NOV_01","Biloxi Bay","Moderate Salinity"
"48","W_BIL_ST6_2025NOV_02","Chao1",1925.43902439024,"W_BIL_ST6_2025NOV_02","Biloxi Bay","Moderate Salinity"
"49","W_BIL_ST7_2025NOV_01","Chao1",1637.8875,"W_BIL_ST7_2025NOV_01","Biloxi Bay","Moderate Salinity"
"50","W_BIL_ST7_2025NOV_02","Chao1",1914.52293577982,"W_BIL_ST7_2025NOV_02","Biloxi Bay","Moderate Salinity"
"51","W_BIL_ST8_2025NOV_01","Chao1",2070.37984496124,"W_BIL_ST8_2025NOV_01","Biloxi Bay","High Salinity"
"52","W_BIL_ST8_2025NOV_02","Chao1",2176.79310344828,"W_BIL_ST8_2025NOV_02","Biloxi Bay","High Salinity"
"53","W_BIL_ST9_2025NOV_01","Chao1",2033.82786885246,"W_BIL_ST9_2025NOV_01","Biloxi Bay","High Salinity"
"54","W_BIL_ST9_2025NOV_02","Chao1",2095.34532374101,"W_BIL_ST9_2025NOV_02","Biloxi Bay","High Salinity"
"55","W_PAS_ST1_2025NOV_01","Chao1",3047.45098039216,"W_PAS_ST1_2025NOV_01","Pascagoula Bay","Freshwater"
"56","W_PAS_ST1_2025NOV_02","Chao1",2532.86224489796,"W_PAS_ST1_2025NOV_02","Pascagoula Bay","Freshwater"
"57","W_PAS_ST10_2025NOV_01","Chao1",2470.07633587786,"W_PAS_ST10_2025NOV_01","Pascagoula Bay","High Salinity"
"58","W_PAS_ST10_2025NOV_02","Chao1",2365.74074074074,"W_PAS_ST10_2025NOV_02","Pascagoula Bay","High Salinity"
"59","W_PAS_ST2_2025NOV_01","Chao1",2945.96911196911,"W_PAS_ST2_2025NOV_01","Pascagoula Bay","Freshwater"
"60","W_PAS_ST2_2025NOV_02","Chao1",2900.7280334728,"W_PAS_ST2_2025NOV_02","Pascagoula Bay","Freshwater"
"61","W_PAS_ST3_2025NOV_01","Chao1",2686.2027027027,"W_PAS_ST3_2025NOV_01","Pascagoula Bay","Freshwater"
"62","W_PAS_ST3_2025NOV_02","Chao1",2766.97297297297,"W_PAS_ST3_2025NOV_02","Pascagoula Bay","Freshwater"
