SampleID	Env	SourceSink	id
W_BIL_ST1_2025NOV_01	Water	Sink	1
W_BIL_ST1_2025NOV_02	Water	Sink	1
W_BIL_ST2_2025NOV_01	Water	Sink	1
W_BIL_ST2_2025NOV_02	Water	Sink	1
W_BIL_ST3_2025NOV_01	Water	Sink	1
W_BIL_ST3_2025NOV_02	Water	Sink	1
W_BIL_ST4_2025NOV_01	Water	Sink	1
W_BIL_ST4_2025NOV_02	Water	Sink	1
W_BIL_ST5_2025NOV_01	Water	Sink	1
W_BIL_ST5_2025NOV_02	Water	Sink	1
W_BIL_ST6_2025NOV_01	Water	Sink	1
W_BIL_ST6_2025NOV_02	Water	Sink	1
W_BIL_ST7_2025NOV_01	Water	Sink	1
W_BIL_ST7_2025NOV_02	Water	Sink	1
W_BIL_ST8_2025NOV_01	Water	Sink	1
W_BIL_ST8_2025NOV_02	Water	Sink	1
W_BIL_ST9_2025NOV_01	Water	Sink	1
W_BIL_ST9_2025NOV_02	Water	Sink	1
W_PAS_ST1_2025NOV_01	Water	Sink	1
W_PAS_ST1_2025NOV_02	Water	Sink	1
W_PAS_ST2_2025NOV_01	Water	Sink	1
W_PAS_ST2_2025NOV_02	Water	Sink	1
W_PAS_ST3_2025NOV_01	Water	Sink	1
W_PAS_ST3_2025NOV_02	Water	Sink	1
W_PAS_ST4_2025NOV_01	Water	Sink	1
W_PAS_ST4_2025NOV_02	Water	Sink	1
W_PAS_ST5_2025NOV_01	Water	Sink	1
W_PAS_ST5_2025NOV_02	Water	Sink	1
W_PAS_ST6_2025NOV_01	Water	Sink	1
W_PAS_ST6_2025NOV_02	Water	Sink	1
W_PAS_ST7_2025NOV_01	Water	Sink	1
W_PAS_ST7_2025NOV_02	Water	Sink	1
W_PAS_ST8_2025NOV_01	Water	Sink	1
W_PAS_ST8_2025NOV_02	Water	Sink	1
W_PAS_ST9_2025NOV_01	Water	Sink	1
W_PAS_ST9_2025NOV_02	Water	Sink	1
W_PAS_ST10_2025NOV_01	Water	Sink	1
W_PAS_ST10_2025NOV_02	Water	Sink	1
S_EPP_1	Soil_EPP	Source	1
S_EPP_2	Soil_EPP	Source	1
S_GCP_1	Soil_GCP	Source	1
S_GCP_2	Soil_GCP	Source	1
S_PCP_1	Soil_PCP	Source	1
S_PCP_2	Soil_PCP	Source	1
S_HLP_1	Soil_HLP	Source	1
S_HLP_2	Soil_HLP	Source	1
S_RSP_1	Soil_RSP	Source	1
S_RSP_2	Soil_RSP	Source	1
S_RKM_1	Soil_RKM	Source	1
S_RKM_2	Soil_RKM	Source	1
