ASV,Niche_width,Location,Subcommunity
00ed1f23c1c240a0a0c12c67461d059f,2.263341214318544,Biloxi Bay,Abundant
0843d7e42529143c98d5666863136c6f,3.8617020000933073,Biloxi Bay,Abundant
091008099dfa079622409470a6d08c47,7.3624857498367335,Biloxi Bay,Abundant
1e7e1daf82b6f1e016d372416c9a8ee0,2.1962926191662726,Biloxi Bay,Abundant
20bee9f0a7b8a3a69fb69a7c0248c3d3,2.2063056526042923,Biloxi Bay,Abundant
23406c8ef915409c837f9f6e54ed17b7,7.382317328620816,Biloxi Bay,Abundant
281911878f020ec32a74f7b2cf0dc031,2.220563542779825,Biloxi Bay,Abundant
2836f647b2530c2b467401070d0a48f2,7.392406014273224,Biloxi Bay,Abundant
2c2ac6df738b3dd98d417479ec2cb4e6,2.2638402485082185,Biloxi Bay,Abundant
3051283e2ca1effa720190319b1a4b38,2.2054470853407477,Biloxi Bay,Abundant
339fa16d68496a5fb8e7cdca5506ba99,7.367834644370822,Biloxi Bay,Abundant
38cf51b67b47f9fd18cfa8970df3d564,1,Biloxi Bay,Abundant
3cfd039005d8aa75b5c7a3258362e11e,7.452466224981511,Biloxi Bay,Abundant
3d74568290cd62200d656f083731f576,1,Biloxi Bay,Abundant
44990c7e79260817a11d0b2d47f077ba,1,Biloxi Bay,Abundant
469763816232be786f930a8da4a7a6fe,2.2185668056098833,Biloxi Bay,Abundant
47c51e37488b195d1e1be3305821adf4,7.367992444583805,Biloxi Bay,Abundant
48b1ed762b849c6cca6877537fda29a3,6.607022872882231,Biloxi Bay,Abundant
494b914b15e57949b8eec508de297e54,3.4258761165901794,Biloxi Bay,Abundant
4aadf4b5411310130fbf2909a6323fa5,2.8517567883799217,Biloxi Bay,Abundant
4fd756f97bff604d6c38a1ba734c2d26,5.247699723986381,Biloxi Bay,Abundant
736550430c8ea6b4f2d123e806cd76d3,1,Biloxi Bay,Abundant
7968867da5955fb7712257011b06500d,7.512417241690499,Biloxi Bay,Abundant
90b7ddf942bbfa42c0a6daf67f1af149,5.230088518950487,Biloxi Bay,Abundant
a0e2314c19881f8fdeec07e7fb9a5cfb,1.9509943458792747,Biloxi Bay,Abundant
a24b3e36c93459019e48b4a229b4acf7,1,Biloxi Bay,Abundant
a731fd502756e9ff13bd0bd38d6dd3cf,7.412913848299832,Biloxi Bay,Abundant
