Location,Subcommunity,TaxRank,Slope,R2,Spearman_rho,Spearman_p,Mantel_r,Mantel_p,Mantel_q
Biloxi Bay,Abundant,ASV,0.011827248617723427,0.013900902138153023,0.2926640926640927,0.08324380888145054,0.2926640926640927,0.0498,0.07469999999999999
Biloxi Bay,Abundant,Class,0.014499428355336196,0.30914964969716496,0.615958815958816,6.356661078552535e-5,0.615958815958816,0.0041,0.0082
Biloxi Bay,Abundant,Family,0.010341556534920629,0.012636231218939363,0.23268983268983273,0.17203366560320363,0.23268983268983273,0.0863,0.10356
Biloxi Bay,Abundant,Genus,0.010580265028894593,0.012240333758447148,0.2424710424710425,0.15420144921371468,0.2424710424710425,0.0774,0.09608275862068966
Biloxi Bay,Abundant,Order,0.026418086678905224,0.3221488975298493,0.7225225225225227,6.506991084655121e-7,0.7225225225225227,6e-4,0.0013499999999999999
Biloxi Bay,Abundant,Phylum,0.014630439575485418,0.31331483302236657,0.6064350064350066,8.838451426335213e-5,0.6064350064350066,0.0049,0.009284210526315789
Biloxi Bay,CRT,ASV,0.008128020066281614,0.023390210356041538,0.26151866151866154,0.12339276156302657,0.26151866151866154,0.074,0.09514285714285714
Biloxi Bay,CRT,Class,-0.0012020108610152668,0.0030935957461905046,-0.02110682110682111,0.9027525031814105,-0.02110682110682111,0.4999,0.514182857142857
Biloxi Bay,CRT,Family,0.0030407807836540057,0.0055505194762795855,0.18275418275418276,0.2860423833751729,0.18275418275418276,0.1368,0.14923636363636364
Biloxi Bay,CRT,Genus,0.002876391076402275,0.0032479628651061855,0.15341055341055343,0.37170580662178343,0.15341055341055343,0.1725,0.1826470588235294
Biloxi Bay,CRT,Order,0.003424505730636608,0.00999307926966488,0.1948519948519949,0.25478285330493755,0.1948519948519949,0.1313,0.1477125
Biloxi Bay,CRT,Phylum,-0.0018158736437154119,0.007675915359064091,-0.09626769626769627,0.57648842987052,-0.09626769626769627,0.6725,0.6725
Biloxi Bay,Rare,ASV,0.004669328362877326,0.02254628576321015,0.27722007722007724,0.10165539622965471,0.27722007722007724,0.07,0.09514285714285714
