"Sample","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Pielou","Coverage","sampleid","Location","Salinity"
"W_BIL_ST1_2025NOV_01",825,825,0,825,12.2028312661075,4.2131561498077,0.95601791646291,22.7365308684544,102.376009165471,0.627388774017157,1,"W_BIL_ST1_2025NOV_01","Biloxi Bay","Freshwater"
"W_BIL_ST1_2025NOV_02",861,861,0,861,12.6008129819023,4.23244213076338,0.95594239528841,22.6975571310831,108.172034197892,0.626277440777188,1,"W_BIL_ST1_2025NOV_02","Biloxi Bay","Freshwater"
"W_BIL_ST2_2025NOV_01",754,754,0,754,11.8795904152885,4.62950041517572,0.972812451298276,36.7815433076013,99.0441118035328,0.698751131711111,1,"W_BIL_ST2_2025NOV_01","Biloxi Bay","Freshwater"
"W_BIL_ST2_2025NOV_02",925,925,0,925,13.126577125322,4.85940233328153,0.976064627613088,41.7791703356499,122.085277918253,0.711500598706431,1,"W_BIL_ST2_2025NOV_02","Biloxi Bay","Freshwater"
"W_BIL_ST3_2025NOV_01",568,568,0,568,3.28435257409827,5.03442030160451,0.985989549202104,71.3752908043603,73.1752862163866,0.793806988107091,1,"W_BIL_ST3_2025NOV_01","Biloxi Bay","Freshwater"
"W_BIL_ST3_2025NOV_02",730,730,0.026297758783336,730.212701740073,11.4343738996023,4.83508908453341,0.981875349206589,55.1734767967798,97.0057901509011,0.733362115103976,0.999994438017264,"W_BIL_ST3_2025NOV_02","Biloxi Bay","Freshwater"
"W_BIL_ST4_2025NOV_01",815,815,0,815,12.5997370699999,4.96624111593951,0.980594373378475,51.5314459823095,108.488857416147,0.740877479796465,1,"W_BIL_ST4_2025NOV_01","Biloxi Bay","Moderate Salinity"
"W_BIL_ST5_2025NOV_01",851,851,0,851,13.2404323259708,5.05614713755442,0.982609683457003,57.5032661152277,114.217702041757,0.749457199055465,1,"W_BIL_ST5_2025NOV_01","Biloxi Bay","Moderate Salinity"
"W_BIL_ST5_2025NOV_02",796,796,0,796,12.9779480534633,4.95304234574566,0.979296035250372,48.2999276753486,107.489245291382,0.741517897696961,1,"W_BIL_ST5_2025NOV_02","Biloxi Bay","Moderate Salinity"
"W_BIL_ST6_2025NOV_01",732,732,0,732,6.00227643518454,4.8280952314461,0.969567250084657,32.8593374828686,93.037872518903,0.731997558321786,1,"W_BIL_ST6_2025NOV_01","Biloxi Bay","Moderate Salinity"
"W_BIL_ST6_2025NOV_02",747,747,0,747,6.70191484954878,4.81759951085743,0.968210367377358,31.4567963672455,98.0386385688113,0.728166875030678,1,"W_BIL_ST6_2025NOV_02","Biloxi Bay","Moderate Salinity"
"W_BIL_ST7_2025NOV_01",791,791,0,791,11.9933609953425,4.93604428454782,0.979191818932439,48.0580208694425,104.510739416523,0.739670895618501,1,"W_BIL_ST7_2025NOV_01","Biloxi Bay","Moderate Salinity"
"W_BIL_ST7_2025NOV_02",755,755,0.0172299573950069,755.232968794031,11.6776960890077,4.87375109817556,0.977358632778691,44.166944081841,99.1890550775011,0.735469848361638,0.999995010926072,"W_BIL_ST7_2025NOV_02","Biloxi Bay","Moderate Salinity"
"W_BIL_ST8_2025NOV_01",831,831,0,831,12.2596262430686,4.87100807540469,0.975274229042618,40.4436327475336,110.180912973658,0.724568840475534,1,"W_BIL_ST8_2025NOV_01","Biloxi Bay","High Salinity"
